MovieTitle,YouTube Video Title,YouTube Video ID,Views,Likes,Comments,Top 10 Comments
2000 Mules,Barr Laughs Off Election Fraud Allegations In ‘2000 Mules’ Documentary,Nz6smxo-MkE,168755,1223,2427,"Remind me never to have William Barr argue on my behalf.|, The part in 2000 mules where Dinesh says it’s morbin time gave me the chills.|, I love how people only talk about the geotracking data and don’t mention the geotracking data paired with the raw CCTV VIDEOS he also showed in the film of the same people depositing loads of ballots into the boxes. Nobody ever mentions that part of it, the videos align perfectly with the geotracking pings. This film was spot on and to say what we witnessed in that film is nothing of concern is just a flat out lie.|, [Evidence of government corruption gets released]
Government: ""nuh-uh""
The people: ""Maybe we should at least look into it ourselves instead of taking the government's word on it.""
Government: ""The people are a threat to our democracy!""|, For Bill Barr, thousands of random people going around cities like Atlanta & Phoenix makes geotracking the mules utterly impossible.  By this logic, thousands of people going around Washington DC on Jan 6th would make geotracking the Capitol protestors also impossible.|, Man, you just can’t trust anyone these days.|, It is scary to know how deep are these people connected to each other, only God can bring all these people down.|, For the average tax paying American I am blown away by how so many in the political class dismiss this film and fail to give any accurate reason why. The film  provides new evidence that if true is a smoking gun.|, The mules did not just pass by the boxes as a statistical norm as Barr suggest. The criminal mules followed complicated paths deliberately and with speed. Why does Barr regard intelligent people and the truth with such contempt ?|, What happened to Barr? Did someone find his name on Jeffrey Epstein's client list? For some odd reason he did a 180 on Trump."
20th Century Women,20th Century Women | Official Trailer HD | A24,6JnFaltqnAY,990175,8507,520,"I heard about this film on NPR and I can tell all of you guys/gals out there that this is not a man hating feminist film. It's literally about the directors life and how his mother and the other woman in his life helped him become the man he is today.|, This story got under my skin in the best of ways.  All the players are incredible; a true ensemble cast with amazingly nuanced performances.  And perhaps the best use of music in a film I have seen in a long time. Some truly funny and poignant lines that I had to stop the film so I could jot down. Just lovely writing.|, This movie is probably about women apreciation, feminism and how women helps men in their daily life and I love it! Probably one of my favorite films from this year, from the music to the cinematography, to the script and the quotes just, outstanding!|, Boy, Annette Bening just gets better and better. No matter how hard she trys to make herself look ""unattractive"" for a part, her natural beauty still shines through. I cannot wait to see this.|, This movie isnt even about feminism. Its just about a second hand family in the 70's its just about connecting to the characters. The plot is obscure and hidden and its what makes this movie great. Theres only like 20 minutes in this movie thats about feminism. Its a simply elegant movie and better then the super hero movies that are pumped out 24/7|, This is one of the best movies that I have seen. I loved the way how the mother sees things and I loved the way how each character is portrayed.  If you are looking for a movie with a vibe and something to think of, this is the one.|, ""Whatever you think your life is going to be like, just know it's not going to be anything like that"" Greta Gerwig
That hit me like a brick.|, I LOVED this movie! the cinematography, acting, music  characters, everything was just... beautiful.|, This movie was wonderful, such a blissful movie that invites important self reflection. I had the privilege to see it on an enormous screen and I look forward to watching it again on smaller ones.|, 7 years late. But never too late for brilliance. Thank You to the entire team for this one. Thanks A24. You bring movies I don't want to forget."
21 & Over,21 &amp; Over Official Trailer #1 (2013) - Comedy Movie HD,JsMFggMLgY0,1412275,7503,463,"Hollywood needs more movies like this 🙏|, Actually one of my favourite comedies, me and my friends quote it all the time when we go out|, I actually loved this movie 😂|, just watched this its actually amazing well written and hilarious!! i want to watch it again|, Who else is here because they saw it on Netflix|, Wish 21 and Over will make a part 2 of this. Its totally funny and im here watching this and im like below 21. 😏😂﻿|, amazing movie! had lots of fun! Plus giving some concrete lessons about life ! good job|, The ending is what made me like this movie tbh|, This is such a underrated late night comedy movie. This should be up there with Harold and kumar, Superbad, and hangover|, I remember watching this as a kid and thinking it was just like the hangover. I just remembered it."
21 Bridges,21 Bridges Trailer #1 (2019) | Movieclips Trailers,BVZDhunTrYA,7011527,68304,3324,"***POSSIBLE ENDGAME SPOILERS IN THE COMMENTS********
Doing what we can to remove any possible spoilers in the comments, but if you want to be safe don't go any further.|, I come back to this trailer and it still gives me chills. Especially at 0:53. So badass

R.I.P. Chadwick.|, I'm at that point where if I see Chadwick I'm watching it 😂😂
Edit- the news bout Chadwick really hit deep man. he was a great actor and an even better person, may his soul rest in peace 🙏🏾💯|, Mr. Boseman was already battling cancer, probably knew it was not a good prognosis either. He did a phenomenal job in this movie AND he fought to make sure that Sienna Miller, his costar, got the same compensation for the movie as he did. He even went so far as to take a reduction in his pay to make that happen.  Men like Mr. Boseman, REAL MEN are desperately needed in THIS world; and yet, for some reason, they seem to be the ones who leave here early!|, Everyone should go see this movie ASAP!!! Best movie I’ve seen this year so far. Chadwick definitely did his thing 👏🏽👏🏽👏🏽|, 2:11 “You’re the only cop tonight to speak first and shoot second.” 

That line was deep 💯|, Amazing movie. I haven't watched typical cop movies in a while and while the plot is very typical of the genre, I think the gunfights are the best part of this movie. Felt like Chadwick is a samurai fighting hordes of enemies, only difference is he's holding a gun.|, Stop every train, loop the subways, flood the island with blue, AND GET THIS MAN A SHIELD|, I'd say Chadwick Boseman has the tools and the acting chops that can emulate Denzel Washington's career if he keeps this up.|, A man with talent and passion has left us,but his story in film's  is still with us."
22 Jump Street,Schmidt Bangs The Captain&#39;s Daughter - 22 Jump Street,-TIF9Eb_HgU,510799,7882,261,"“She can’t be that smart she’s a art major” lmaooo his daughter🤣|, Still makes me laugh to this day. Possibly the greatest bit in comedy history.|, The entire theatre was busting out laughing at this scene 😂😂😂|, Channing is one them friends who makes it all worse 😂😂😂|, Captain really brought this on himself though 😂 He sends them on assignment to a school he knows his daughter goes to, doesn't warn them to stay away from her, doesn't even make the connection when Schmidt says she's an art major, and gives him a dap for it lmao|, It's insane that out of all this comedic talent, Ice Cube is the best.  His facial expressions are so on-point.|, The whole audience in my auditorium already started laughing and when the bell  went “ding”, the whole audience went crazy. 😂😂😂😂|, The ding gets me everytime😂😂😂|, Omg the fact he dapped him is hilarious as fuck and Channing Tatum just bragging about it scene is so hilarious and well done I die every time I see it laughing|, “Schmidt fucked the captain’s daughter!!!” That always has me rollin!!!😂😂😂"
3 Days to Kill,"3 Days to Kill Official Trailer #1 (2014) - Kevin Costner, Amber Heard Movie HD",yswZKfnmf7c,5876526,16825,1038,"This is a good movie. It has many flaws that you can seek out and pick apart. But nothing can't be (suspended reality) for a bit and overlooked. Its hilarious in parts, cute and sweet in others. Really enjoyed it. Flaws and all. Like a gruff old favorite uncle.|, Kevin Costner is sooo underated. Great actor...great guy! One of my very favorites! He deserves a zillion Oscars!!!😊|, 4 years later and I still think this movie is great I watched it many times now and btw the trailer makes the movie look kind of cheap but when you actually watch it it’s 
a lot different and honestly this is nothing compared to the Taken (plots) movies just watch you’ll be satisfied even though you can now find it anywhere for free 😃|, Honestly I enjoyed this movie alot, it was great and I thought Kevin Costner fit that part so much, loved it.|, Looks like a very good action flick. Kevin Costner is refreshingly different than usual in this one! Actually looking forward to see this.|, Looks awesome! Can't wait to see it|, I will watch ANY movie Kevin Costner makes, if he would have starred in the movie The Note Book I would have gone and seen it at the theater and cried tears of joy then bought it on bluray and slept with it in my bed everynite. That mans an amazing actor.|, i watch this movie without any expectation and found out this movie is really nice and touching |, I'm surprised we missed this one, it looks pretty good. 

My wife didn't see the trial, so she won't be prejudiced against Amber.

Looking forward to checking this out.|, I'm really looking forward to seeing this movie!! I know it will be very entertaining!!!!Why?!? Because I'm a BIG Kevin Costner fan!! I think he is an excellent actor and leading man!"
3 Generations,3 Generations US Release Trailer (2017) | Movieclips Trailers,PO_of38iF24,400648,5887,806,"honestly, this was the most heartbreaking but beautiful movie, my favourite part was how they didn't really tell you ray was struggling with gender dysphoria yet showed it, i suggest watching it if you feel like crying|, I haven not seen something like this before usually and I find it is very beautiful. For those who are going though this and feel like they are alone, I believe we need movies like these to show acceptance for the trans community and their ability to live who they are inside and out. |, Elle, has honestly grown into her own. I no longer see her as just Dakota's little sister, I now see her as a well talented force to be wrecked with in the movie business.|, I laughed all the way through, this movie is something else, and I LOVE IT!!! I can't wait to see it when it comes out this summer!!|, As a transgender boy myself I need to see this!|, Found this randomly on Netflix, absolutely loved it ❤ almost cried.|, can't wait to see this trailer in the movies with my Christian family😂|, “She’s not a lesbian mom, she’s a boy”|, I decided to ignore comment section that's 99% shit and say that I'm damn excited for this movie. I can't wait to watch it with my parents, hopefully making them understand my situation a little better.|, Anyone else want a 3rd generation 2 because this is one of my favorite movies I would love to see the second movie"
3 from Hell,3 from Hell - Captain Spaulding,NxhzS3JhTkM,92293,1199,258,"Even though you can see he is tired he still gives an amazing performance|, Even when he was sick, he still gave a great performance. Rest peacefully, Sid.|, I just love Sid’s laugh. It's so sincere, sinister, and memorable. God bless you Sid hope you’re in a better place now.|, Sid was definitely sick in this movie 🎥. He lost a lot of weight. RIP, Sid. You were one of a kind.|, Sid was an amazing actor. I’m thankful Rob kept him acting.|, I can understand why seeing him like this is upsetting.. but think why it’s upsetting, it’s because the dude has a larger than life personality, and it’s hard to see him a frail old man. But Sid is a true actor. And this scene was obviously made for him to go out as a bad ass, cussing and dying for the man.. I see Sid in the same light as someone like Johnny cash or David Bowie.. they both made their last albums while dying, and each has a music video basically telling everyone “yo, I’m about to bounce out of this earthly plane so enjoy my final work of art”|, Watching this i was so proud of sid for still trying and also i felt so bad and sad for him because looking at him i knew his time was coming soon ... RIP Sid you were a amazing actor and person|, Bless his heart, Sid was so sick in this scene. The show must go on and he performed. I love you Sid, thanks for all of your wonderful roles and characters|, I loved Sids resurgence in acting during the 2000s. He was everywhere, even in the NOTLD 3D remake in 2006. I miss that era, and I'll miss Sid Haig. RIP|, The film was not great without Sid's full involvement. He was dying here. May he rest in peace."
300: Rise of an Empire,300: Rise of an Empire (2014) - Shock Combat Scene (1/10) | Movieclips,qbRoK8WhJQQ,4232052,28236,1996,"The balls on these guys to be fighting without any armor... Instead of Themistocles this dude should've been named TheTesticles|, Fun fact: in the actual battle despite being outnumbered 3 - 1, the Athenians altered their battle formations but removing the support in the middle to stretch out the lines, making them equal in length to the vastly more numerous Persian army. They also put all their best soldiers on the flanks, meaning when the Persians focused their strength in the weak middle, the Athenians cut down the flanks and managed to encircle on 3 sides an enemy that nearly tripled theirs in number|, ""He gives the Persian a taste of Athenian shock combat"" gave me the biggest chills ever.|, Look at this. No smartphones, no tablets .
Just people living in the moment.|, Okay, I'm not saying it's accurate, or portrays the complex political struggles and conflicts of the time.... but that music and artistic style is pretty epic|, I don't know why but Themistocles' entrance gives me chills. Him running to battle with that lightning behind him it's just epic.|, AS A GREEK, i can assure you beyond any doubt that in the good ol' times, we all fought in the nude, we were all ripped like statures, we were tall and exceptionally handsome, and all our enemies fell before us, without ANY resistance, so spectacularly, as if they had never held any weapons in their entire lives, no matter of how experienced they were. And we could snipe Dariuses from a great distance. We had killed many of them, in fact.|, People need to understand that the 300 films are based off comics, not exact historical accuracy. The film makers wanted to depict 300 like a Greek legend ( which idolized physical fitness ) so that’s why you see all these body builder looking Greek warriors. I think they did a fantastic job with the films. A 100% historically accurate film would be a little boring in my opinion.|, This is still the most epic movie opening I have ever seen in theaters.|, ""Video games is the cause of violence""

People when video games doesn't exist:"
42,42 -  Jackie Robinson dealt with racism from Ben Chapman,MkKK49vrd6Q,7166144,56448,3270,"Rest In Peace Chadwick Boseman, people think that Black Panther was your best role but I think this is your best role, fly high Chadwick.🙏🏽 😇|, Rip to Boseman. He died the same day as jackie broke the color barrier with dodgers. He truly portrayed him so well, and become a good actor. RIP.|, Rip Chadwick. Can’t believe he died on Jackie Robinson day. What an incredible human being!|, I like how his teammate defended him. That shows respects.|, According to Jonathan Eig's book ""Opening Day"", the confrontation between Eddie Stanky and the Phillies was way more dramatic.  After hearing the racist taunts being hurled At Jackie Robinson [which were coming from Phillie players as well], Stanky picked up a bat, walked over to the Phillie dugout and threatened to bash some heads in if he heard any more racist taunting aimed at Robinson.  To emphasize his point, Stanky threw the bat into the dugout, which caused a whole bunch of Phillie ballplayers and coaches to duck for cover!|, Bullying someone who can’t fight back is being a coward imo.|, *That man who stood up for Robinson is amazing.*|, My stepdad was an extra in this movie when they filmed it here in Georgia. He passed away two weeks ago to this day, and I so happen to see this today. Glad he got to do what he loved before he left us. Film was his whole life and seeing this video at this moment made me a little emotional.|, As a Phillies fan its embarrassing to know we had this man as our manager at one point|, I’m glad there were people that weren’t racist back then"
47 Meters Down,47 Meters Down Trailer #1 (2017) Mandy Moore Horror Movie HD,ddYSGGJAKOk,9139577,29607,3788,"Subscribe to our second channel to watch CLASSIC TRAILERS! https://www.youtube.com/channel/UC7JeI5Ux1MgXt2rrctzbI5A?sub_confirmation=1|, This was such an amazing movie. In my opinion; it's one of the best shark movies. You feel like you're the characters and it leaves you on edge the entire time and that plot twist ending completely caught me over guard! Movies never really actually surprise me when there's a plot twist, but this one sure did and it was such a good dark ending too. I hated that Kate died, but honestly.. if she had been patient and careful, she would have also made it. But just like with every movie, there are flaws. I love how realistic is it up until it's not. Like how their ears should have popped or how the sharks conveniently left at the end or even how much air they had, it just wasn't accurate. But I still love this movie a lot and I would personally rate it a 4 out 5 stars.|, This movie is grossly underrated. It had me stressed out the whole time.|, Claire, you're a mermaid and an original vampire, you'll be fine.|, This movie stuck with me for a whole year. The end made me cry like crazy, just thinking about going through this with my sister really hit too close to home for me. Horror movies are my favorite genre but damn the ending really got me|, The scene where she lights the flare while they're swimming up... one of the freaking (and freakiest!) best shots I've seen in a movie.  It seems odd (and scary) when you see it, but makes sense in the long run.  Wish I could find a screen shot of it!|, U know when people in the movie go underwater,I like to hold my breath to see if I will survive in the situation|, I also saw the film when it was released as ""In The Deep"", I personally liked it a lot, as many people pointed out, I thought it was superior to The Shallows. The relationship between the two sisters is interesting, the movie is suspenseful, and I think a lot of people are going to talk about that ending. Very good decision by Dimension to pick up the film from the Weinstein Brothers for a theatrical release. I gave it a 7.5/10.|, Emma could've easily frozen the sharks. (Some people will get this)|, I never watch a movie twice but I broke that rule for this movie. Absolutely love it"
